Date,Min,Average,Max,First,Last
27.10.2019 0:00,1.10773,1.10805,1.10829,1.10805,1.10793
28.10.2019 0:00,1.10766,1.10908,1.11062,1.10816,1.11004
29.10.2019 0:00,1.0977,1.10979,1.146,1.1098,1.11123
30.10.2019 0:00,1.09008,1.11179,1.13675,1.11127,1.11532
31.10.2019 0:00,1.11333,1.11569,1.11744,1.11536,1.1152
01.11.2019 0:00,1.11303,1.11604,1.11925,1.11514,1.11925
02.11.2019 0:00,1.11655,1.11897,1.11925,1.11925,1.11675
03.11.2019 0:00,1.1165,1.11677,1.11919,1.11675,1.11707
04.11.2019 0:00,1.11245,1.11564,1.11755,1.11655,1.11277
05.11.2019 0:00,1.10635,1.1107,1.12421,1.11228,1.10738
06.11.2019 0:00,1.10654,1.1077,1.10927,1.10754,1.10675
07.11.2019 0:00,1.10374,1.1063,1.10897,1.10699,1.10495
08.11.2019 0:00,1.10175,1.10376,1.10547,1.10491,1.1019
09.11.2019 0:00,1.1019,1.1019,1.1019,1.1019,1.1019
10.11.2019 0:00,1.1019,1.10194,1.10263,1.1019,1.10213
11.11.2019 0:00,1.10167,1.10295,1.10426,1.10203,1.10339
12.11.2019 0:00,1.10036,1.10227,1.10388,1.10319,1.10081
13.11.2019 0:00,1.0995,1.1009,1.10197,1.10115,1.1007
14.11.2019 0:00,1.09896,1.10062,1.10271,1.10072,1.10218
15.11.2019 0:00,1.10144,1.10342,1.1057,1.10222,1.10525
16.11.2019 0:00,1.10513,1.10514,1.10525,1.10525,1.10513
17.11.2019 0:00,1.1049,1.10512,1.1055,1.10513,1.10524
18.11.2019 0:00,1.10512,1.10654,1.10895,1.10516,1.10721
19.11.2019 0:00,1.10635,1.10751,1.10836,1.10723,1.10773
20.11.2019 0:00,1.10533,1.10691,1.10805,1.10781,1.10737
21.11.2019 0:00,1.10534,1.10743,1.10961,1.10772,1.10583
22.11.2019 0:00,1.10158,1.10516,1.10782,1.10619,1.10213
23.11.2019 0:00,1.10196,1.10212,1.10213,1.102,1.10213
24.11.2019 0:00,1.10164,1.10215,1.10225,1.10213,1.10194
